date,discharge_cfs
2021-01-01,13700.0
2021-01-02,15300.0
2021-01-03,21100.0
2021-01-04,26000.0
2021-01-05,22200.0
2021-01-06,18700.0
2021-01-07,17200.0
2021-01-08,15300.0
2021-01-09,13400.0
2021-01-10,11900.0
2021-01-11,11000.0
2021-01-12,10300.0
2021-01-13,9760.0
2021-01-14,9150.0
2021-01-15,8650.0
2021-01-16,8460.0
2021-01-17,8300.0
2021-01-18,7910.0
2021-01-19,7590.0
2021-01-20,7120.0
2021-01-21,6940.0
2021-01-22,6710.0
2021-01-23,6390.0
2021-01-24,6180.0
2021-01-25,6020.0
2021-01-26,7660.0
2021-01-27,13800.0
2021-01-28,22400.0
2021-01-29,19100.0
2021-01-30,15000.0
2021-01-31,13100.0
2021-02-01,12400.0
2021-02-02,11900.0
2021-02-03,11700.0
2021-02-04,11400.0
2021-02-05,10400.0
2021-02-06,9800.0
2021-02-07,10000.0
2021-02-08,12700.0
2021-02-09,12800.0
2021-02-10,11300.0
2021-02-11,10400.0
2021-02-12,10800.0
2021-02-13,12200.0
2021-02-14,14700.0
2021-02-15,19100.0
2021-02-16,34000.0
2021-02-17,44700.0
2021-02-18,32800.0
2021-02-19,28300.0
2021-02-20,26500.0
2021-02-21,25700.0
2021-02-22,23700.0
2021-02-23,27200.0
2021-02-24,24400.0
2021-02-25,21100.0
2021-02-26,19200.0
2021-02-27,19500.0
2021-02-28,22700.0
2021-03-01,32400.0
2021-03-02,45000.0
2021-03-03,44400.0
2021-03-04,33700.0
2021-03-05,28000.0
2021-03-06,24100.0
2021-03-07,20700.0
2021-03-08,18200.0
2021-03-09,15000.0
2021-03-10,12800.0
2021-03-11,11300.0
2021-03-12,10400.0
2021-03-13,9910.0
2021-03-14,9450.0
2021-03-15,8880.0
2021-03-16,8640.0
2021-03-17,8460.0
2021-03-18,8750.0
2021-03-19,11100.0
2021-03-20,13700.0
2021-03-21,12400.0
2021-03-22,10900.0
2021-03-23,9960.0
2021-03-24,9920.0
2021-03-25,10600.0
2021-03-26,9750.0
2021-03-27,9260.0
2021-03-28,9370.0
2021-03-29,10400.0
2021-03-30,11500.0
2021-03-31,14700.0
2021-04-01,22900.0
2021-04-02,25000.0
2021-04-03,18800.0
2021-04-04,16300.0
2021-04-05,14400.0
2021-04-06,13300.0
2021-04-07,12200.0
2021-04-08,11000.0
2021-04-09,10100.0
2021-04-10,12100.0
2021-04-11,12800.0
2021-04-12,16300.0
2021-04-13,35400.0
2021-04-14,24300.0
2021-04-15,21100.0
2021-04-16,18600.0
2021-04-17,15800.0
2021-04-18,13700.0
2021-04-19,12200.0
2021-04-20,11900.0
2021-04-21,11000.0
2021-04-22,9790.0
2021-04-23,9020.0
2021-04-24,8580.0
2021-04-25,8860.0
2021-04-26,10100.0
2021-04-27,9300.0
2021-04-28,8600.0
2021-04-29,8120.0
2021-04-30,7620.0
2021-05-01,7170.0
2021-05-02,6720.0
2021-05-03,6540.0
2021-05-04,6550.0
2021-05-05,6870.0
2021-05-06,7050.0
2021-05-07,6880.0
2021-05-08,6600.0
2021-05-09,6410.0
2021-05-10,5930.0
2021-05-11,5800.0
2021-05-12,5780.0
2021-05-13,5310.0
2021-05-14,5100.0
2021-05-15,4950.0
2021-05-16,4990.0
2021-05-17,4690.0
2021-05-18,4410.0
2021-05-19,4480.0
2021-05-20,4240.0
2021-05-21,4240.0
2021-05-22,3990.0
2021-05-23,3680.0
2021-05-24,3650.0
2021-05-25,3580.0
2021-05-26,3620.0
2021-05-27,3350.0
2021-05-28,3410.0
2021-05-29,3810.0
2021-05-30,4550.0
2021-05-31,3960.0
2021-06-01,3640.0
2021-06-02,3470.0
2021-06-03,3460.0
2021-06-04,3470.0
2021-06-05,3480.0
2021-06-06,3320.0
2021-06-07,3070.0
2021-06-08,3080.0
2021-06-09,2730.0
2021-06-10,3080.0
2021-06-11,4250.0
2021-06-12,7820.0
2021-06-13,9950.0
2021-06-14,9870.0
2021-06-15,9500.0
2021-06-16,9270.0
2021-06-17,8890.0
2021-06-18,7170.0
2021-06-19,6600.0
2021-06-20,5920.0
2021-06-21,4610.0
2021-06-22,4010.0
2021-06-23,3550.0
2021-06-24,3670.0
2021-06-25,3360.0
2021-06-26,2890.0
2021-06-27,2750.0
2021-06-28,2640.0
2021-06-29,2440.0
2021-06-30,2500.0
2021-07-01,2230.0
2021-07-02,3550.0
2021-07-03,4560.0
2021-07-04,3910.0
2021-07-05,3100.0
2021-07-06,2580.0
2021-07-07,2340.0
2021-07-08,2240.0
2021-07-09,2500.0
2021-07-10,2180.0
2021-07-11,2330.0
2021-07-12,2170.0
2021-07-13,2000.0
2021-07-14,2030.0
2021-07-15,1890.0
2021-07-16,1800.0
2021-07-17,1840.0
2021-07-18,1850.0
2021-07-19,1570.0
2021-07-20,1530.0
2021-07-21,1580.0
2021-07-22,1570.0
2021-07-23,1500.0
2021-07-24,1420.0
2021-07-25,1400.0
2021-07-26,4470.0
2021-07-27,2340.0
2021-07-28,2040.0
2021-07-29,1950.0
2021-07-30,2260.0
2021-07-31,1940.0
2021-08-01,1870.0
2021-08-02,1940.0
2021-08-03,1740.0
2021-08-04,1580.0
2021-08-05,1490.0
2021-08-06,1330.0
2021-08-07,1950.0
2021-08-08,3600.0
2021-08-09,2390.0
2021-08-10,1770.0
2021-08-11,1800.0
2021-08-12,1920.0
2021-08-13,1740.0
2021-08-14,1900.0
2021-08-15,3030.0
2021-08-16,3830.0
2021-08-17,3670.0
2021-08-18,4390.0
2021-08-19,5010.0
2021-08-20,5940.0
2021-08-21,4640.0
2021-08-22,4720.0
2021-08-23,3830.0
2021-08-24,3420.0
2021-08-25,3060.0
2021-08-26,2570.0
2021-08-27,2150.0
2021-08-28,2080.0
2021-08-29,1960.0
2021-08-30,2060.0
2021-08-31,2650.0
2021-09-01,2480.0
2021-09-02,3340.0
2021-09-03,6610.0
2021-09-04,10500.0
2021-09-05,7440.0
2021-09-06,5060.0
2021-09-07,3840.0
2021-09-08,3270.0
2021-09-09,2710.0
2021-09-10,2440.0
2021-09-11,2200.0
2021-09-12,2040.0
2021-09-13,1950.0
2021-09-14,1840.0
2021-09-15,1790.0
2021-09-16,1780.0
2021-09-17,1880.0
2021-09-18,1770.0
2021-09-19,1790.0
2021-09-20,1770.0
2021-09-21,1780.0
2021-09-22,1770.0
2021-09-23,2210.0
2021-09-24,27100.0
2021-09-25,25700.0
2021-09-26,13600.0
2021-09-27,8490.0
2021-09-28,6220.0
2021-09-29,4840.0
2021-09-30,4050.0
2021-10-01,3540.0
2021-10-02,3160.0
2021-10-03,2800.0
2021-10-04,2590.0
2021-10-05,2410.0
2021-10-06,2390.0
2021-10-07,2640.0
2021-10-08,4610.0
2021-10-09,4110.0
2021-10-10,3320.0
2021-10-11,2960.0
2021-10-12,2740.0
2021-10-13,2570.0
2021-10-14,2490.0
2021-10-15,2450.0
2021-10-16,2390.0
2021-10-17,2290.0
2021-10-18,2460.0
2021-10-19,2130.0
2021-10-20,1940.0
2021-10-21,1920.0
2021-10-22,1850.0
2021-10-23,1820.0
2021-10-24,1810.0
2021-10-25,1880.0
2021-10-26,2150.0
2021-10-27,2950.0
2021-10-28,3700.0
2021-10-29,3180.0
2021-10-30,6360.0
2021-10-31,9030.0
2021-11-01,5620.0
2021-11-02,4770.0
2021-11-03,4880.0
2021-11-04,4520.0
2021-11-05,3870.0
2021-11-06,3410.0
2021-11-07,3070.0
2021-11-08,2910.0
2021-11-09,2800.0
2021-11-10,2700.0
2021-11-11,2620.0
2021-11-12,2570.0
2021-11-13,2560.0
2021-11-14,3930.0
2021-11-15,4900.0
2021-11-16,4650.0
2021-11-17,4030.0
